TPHV,94,勞再,4,20060331,4
TPHV,88,勞上,51,20000509
TPHV,94,勞再,4,20060313,3
TPHV,88,勞上,59,20000414
PCDV,110,勞訴,15,20210916,2
PCDV,109,勞補,316,20201223,1
TPHV,110,勞上易,23,20211228,1
TPHV,111,勞再易,13,20221201,1
TPDV,109,勞訴,383,20210128,2
CTDV,110,勞訴,184,20220207,2
CTDV,110,勞訴,183,20220207,2
TPDV,110,勞訴,291,20211104,1
CTDV,110,勞訴,221,20220217,2
CTDV,110,勞訴,183,20220209,3
CTDV,110,勞訴,184,20220209,3
CTDV,110,勞訴,176,20220117,2
CTDV,111,勞訴,21,20220223,2
CTDV,111,勞訴,3,20220315,2
PTDV,110,勞訴,54,20220215,2
CTDV,111,勞訴,42,20220318,2
PTDV,110,勞訴,54,20220221,3
CTDV,111,勞訴,36,20220329,2
CHDV,92,勞訴,34,20040130,1
KSHV,92,勞上易,31,20031209,1
KSHV,92,勞上易,31,20031209,2
TPDV,102,重勞訴,13,20140417,2
TCDV,104,勞訴,160,20160520,2
TNDV,104,勞訴,11,20150529,1
TNHV,104,勞上易,20,20160815,1
CYDV,105,勞訴,4,20160629,2
TCDV,101,勞訴,104,20130501,3
TCDV,101,勞訴,104,20120810,1
TPHV,90,勞再易,3,20010221,1
TCDV,101,勞訴,87,20121129,1
TCHV,102,勞上,24,20131028,1
TCHV,102,勞上,24,20140212,3
TPHV,89,勞上更,6,20001212,2
TCHV,102,勞上,24,20140306,4
TPDV,91,勞訴,123,20021003,1
TPHV,89,勞上更,6,20001212,1
TPHV,94,勞再易,15,20050912,1
TPHV,92,勞再易,14,20031119,1
TPHV,94,勞再易,15,20051031,2
CHDV,91,勞訴,27,20021212,2
TPHV,95,重勞上,4,20060120,1
TPHV,95,重勞上,4,20060206,2
TPHV,100,重勞上更(三),1,20110929,1
ULDV,94,勞訴,3,20050511,2
ULDV,94,勞訴,3,20051104,1
TPDV,100,勞訴,261,20120719,2
TCDV,100,勞訴,147,20121030,2
TPHV,104,重勞上,36,20160628,2
TCDV,104,勞訴,79,20160111,2
TCHV,105,勞上,7,20160615,2
TCDV,103,勞訴,123,20151202,2
CYDV,104,勞訴,18,20151210,2
KSDV,103,勞訴,25,20150515,1
KSDV,104,勞訴,92,20160115,2
KSDV,103,勞訴,25,20150814,3
KSHV,104,勞上易,27,20160412,1
TYEV,98,桃勞簡,23,20091113,1
KSDV,103,勞訴,66,20150828,1
TYEV,98,桃勞簡,23,20100326,3
TCDV,97,勞訴,64,20090526,1
TPHV,99,勞再易,7,20100817,2
TCDV,98,勞訴,97,20100211,1
TCDV,98,勞訴,97,20100430,3
TCHV,99,勞上易,30,20100625,1
TCDV,98,勞訴,97,20100709,4
TNDV,98,勞訴,18,20091027,1
KSDV,99,勞訴,10,20100601,2
TYDV,111,勞訴,3,20220613,2
TYDV,111,勞訴,3,20220518,1
TYDV,110,勞訴,118,20220303,2
TPDV,110,勞訴,337,20211129,1
TPDV,110,勞訴,337,20220329,3
TPDV,110,勞訴,379,20211229,1
MLDV,112,司他,22,20230828,1
CYDV,110,勞訴,36,20220128,2
CTDV,110,勞訴,82,20220117,2
CTDV,111,勞訴,85,20220425,3
CTDV,111,勞訴,85,20220425,2
CTDV,111,勞訴,93,20220517,2
CTDV,111,勞訴,69,20220516,2
CTDV,111,勞訴,80,20220530,2
CTDV,111,勞訴,116,20220602,2
CTDV,110,勞訴,90,20220207,2
KSDV,110,勞訴,138,20220111,2
TYDV,98,勞訴,31,20090706,1
TYDV,98,勞訴,31,20090706,2
SLDV,97,勞訴,50,20090513,2
TPDV,98,重勞訴,17,20100119,1
TPDV,101,勞訴,252,20140204,1
TPDV,101,勞訴,252,20140312,4
KSDV,102,勞訴,92,20140113,2
KSHV,103,勞上易,8,20140430,1
TPDV,97,重勞訴,24,20121212,2
TPDV,97,重勞訴,24,20100414,2
TYDV,103,勞訴,23,20140407,1
