PTDV,110,勞訴,54,20220120,1
CTDV,111,勞訴,32,20220222,1
CTDV,111,勞訴,14,20220224,1
CTDV,111,勞訴,16,20220303,1
CTDV,111,勞訴,12,20220125,1
CTDV,111,勞訴,42,20220304,1
CHDV,92,勞訴,34,20040322,2
CTDV,111,勞訴,36,20220317,1
CTDV,111,勞訴,40,20220304,1
CHDV,93,勞訴,2,20040416,1
PTDV,92,勞訴,2,20030611,1
CTDV,111,勞訴,53,20220318,1
KSDV,89,勞訴,48,20010530,1
CTDV,111,勞訴,35,20220317,1
CTDV,110,勞訴,218,20220307,1
TNDV,90,勞訴,5,20011004,1
HLDV,90,勞訴,3,20010820,1
SLDV,103,勞訴,1,20140331,1
TPDV,102,重勞訴,13,20140321,1
TPDV,104,勞訴,252,20160420,4
PCDV,104,勞訴,131,20160226,1
KSDV,103,勞訴,23,20140604,1
TCDV,104,勞訴,160,20160413,1
TPDV,89,勞訴,35,20000817
TPDV,89,勞訴,35,20000905
TPDV,88,勞訴,96,20000410
CYDV,105,勞訴,4,20160531,1
TCDV,101,勞訴,104,20130329,2
TCDV,101,勞訴,87,20130531,4
TPSV,87,台上,2754,19981126
TPDV,91,勞訴,60,20020722,1
TPDV,91,勞訴,125,20021119,1
TPDV,91,勞訴,123,20021125,1
TPDV,91,勞訴,84,20021223,1
SLDV,91,勞訴,25,20030328,1
CHDV,92,勞訴,5,20030227,1
PCDV,90,勞訴,8,20020606,1
CHDV,91,勞訴,27,20030218,1
CHDV,92,勞訴,3,20030311,1
TPDV,94,勞訴,128,20051130,1
CHDV,92,勞訴,10,20030508,1
ULDV,94,勞訴,3,20051223,3
TPDV,100,勞訴,233,20120511,1
TPDV,100,勞訴,261,20120626,1
TCDV,100,勞訴,147,20121004,1
SLDV,104,勞訴,1,20150728,1
TCDV,103,勞訴,123,20151104,1
TPDV,103,重勞訴,37,20150820,2
TPDV,104,勞訴,244,20160128,2
PCDV,104,勞訴,88,20151217,1
TCDV,104,勞訴,79,20151109,1
CYDV,104,勞訴,18,20151117,1
KSDV,103,勞訴,25,20150717,2
KSDV,104,勞訴,92,20151208,1
KSDV,105,勞訴,44,20160331,1
KSHV,105,勞再易,1,20170125,1
KSDV,104,勞訴,19,20151214,1
KSDV,104,勞訴,97,20151228,1
KSDV,103,勞訴,66,20151216,2
TPDV,98,勞訴,187,20100210,1
TPDV,99,勞訴,29,20100331,1
TCDV,97,勞訴,64,20090814,2
TCDV,98,勞訴,100,20100409,2
TCDV,98,勞訴,97,20100409,2
KSDV,99,勞訴,19,20100423,1
KSDV,99,勞訴,10,20100511,1
SCDV,109,勞訴,43,20210426,1
TPDV,110,勞訴,354,20220225,1
TPDV,110,勞訴,337,20220209,2
MLDV,111,勞訴,4,20220419,1
TPDV,110,勞訴,282,20211203,1
TPDV,110,勞訴,303,20211203,1
CYDV,110,勞訴,35,20211223,1
CYDV,110,勞訴,36,20220113,1
CTDV,110,勞訴,82,20211223,1
TPDV,110,勞訴,379,20220308,2
CTDV,111,勞訴,85,20220401,1
CTDV,111,勞訴,31,20220311,1
CTDV,111,勞訴,93,20220428,1
CTDV,111,勞訴,75,20220505,1
CTDV,111,勞訴,76,20220505,1
CTDV,111,勞訴,74,20220505,1
CTDV,111,勞訴,60,20220425,1
CTDV,111,勞訴,80,20220512,1
CTDV,111,勞訴,69,20220502,1
CTDV,111,勞訴,67,20220502,1
CTDV,111,勞訴,116,20220520,1
KSDV,110,勞訴,138,20211215,1
